X1TXMTSCOR,X1MTHEFF,X1SCIEFF,X1SCHOOLBEL,X1SCHOOLCLI,S1M8GRADE,S1S8GRADE,X1PAREDU,X1PAREDEXPCT,S1EDUEXPECT,S1SUREHSGRAD,S1PAYOFF,S1GETINTOCLG,S1AFFORD,S1WORKING,X1PAR_SURVEY_MISSING,X1_DUAL_PARENT,X1POVERTY,MATH_NO_CLASS,SCI_NO_CLASS,S1FYFAMILY,S1FYMILITARY,X1CONTROL,X4EVERDROP
48.1132,0.1,-1.63,-0.64,-1.13,3,2,4,6,4,1,3,3,3,3,0,1,0,0,0,0.0,0.0,1.0,1.0
46.5772,0.1,0.25,-0.49,-0.28,2,1,2,2,2,1,4,4,2,1,0,0,0,0,0,0.0,1.0,1.0,0.0
58.2996,0.1,0.06604246807201108,-0.39,-1.34,1,1,5,6,6,1,3,3,3,3,0,1,0,0,1,0.0,0.0,1.0,0.0
61.6927,0.55,0.06604246807201108,-0.39,0.14,1,1,4,10,10,1,4,3,3,3,0,1,0,0,1,0.0,0.0,1.0,0.0
38.4425,-0.3,0.25,-0.39,-1.46,2,1,3,5,6,1,2,3,3,3,1,1,0,0,0,0.0,0.0,1.0,0.0
64.4785,-0.17,-1.2,0.67,-1.51,1,1,2,10,8,1,2,3,1,4,0,1,0,0,0,0.0,0.0,1.0,0.0
53.3296,-0.29,-0.17,0.98,-0.23,1,1,5,6,8,1,3,3,3,3,0,1,0,0,0,0.0,0.0,2.0,0.0
56.5534,0.1,1.83,1.34,1.16,2,1,2,4,6,1,3,4,4,4,0,1,0,0,0,0.0,0.0,2.0,0.0
62.8043,1.62,0.06604246807201108,-1.77,-0.8,2,1,5,6,8,1,3,3,3,3,0,1,0,0,1,1.0,1.0,1.0,0.0
45.9831,1.62,-0.17,1.1,0.17,2,3,3,6,8,1,4,3,3,4,0,1,0,0,0,0.0,0.0,1.0,0.0
65.3481,0.95,1.1,0.41,-0.3590853994490358,2,2,4,8,10,1,4,3,3,4,0,0,0,0,0,0.0,0.0,1.0,0.0
61.3687,1.34,0.06604246807201108,-0.04,0.14,1,1,5,10,10,1,2,3,4,4,0,1,0,0,1,0.0,0.0,1.0,1.0
41.7451,0.1,0.25,-0.39,-2.06,2,1,7,6,4,2,2,3,3,3,0,0,1,0,0,0.0,0.0,1.0,0.0
47.9258,0.1,-1.63,-0.35,0.48,1,2,2,8,8,2,1,2,3,4,0,0,0,0,0,1.0,0.0,1.0,0.0
56.6051,1.62,-0.16,0.45,-1.07,1,2,4,6,8,1,3,3,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
